"Config","Variance","Benchmarks","Missing"
"ETH:HDD:24: 10:2: 65536:ZLIB: 64:Local 1",1851492.4,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL3:10: 10:3: 65536:ZLIB: 64:Azure L",1851227.36666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:24: 10:1: 65536:None: 64:Local 1",1841349.2,5,"bayes,hivebench_agregation,hivebench_join,pagerank,sort"
"ETH:RL3:10: 10:3: 65536:None: 32:Azure L",1839422.26666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 50:1: 65536:None:128:Local 1",1835080.66666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:BZIP2:256:Azure L",1814038.7,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3: 8: 10:3: 65536:ZLIB: 32:Azure L",1808843.5,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL2: 8: 10:2: 65536:ZLIB: 32:Azure L",1808802,2,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,wordcount"
"ETH:RL3: 8: 10:3: 65536:Snappy:128:Azure L",1808587.06666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 50:1: 65536:None: 32:Local 1",1786698.26666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL2: 8: 10:3: 65536:Snappy:128:Azure L",1775968.66666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:24: 10:1: 65536:ZLIB: 64:Local 1",1761849.1,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12: 20:1: 32768:None: 32:Local 1",1758071.76666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:BZIP2: 64:Azure L",1739076.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:3: 65536:None:128:Azure L",1736789.6,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL1: 8: 10:1: 65536:ZLIB: 32:Azure L",1736733.14285714,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:HDD:12:  5:3: 65536:None:128:Local 1",1732770.7,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:BZIP2: 32:Azure L",1725081.1,6,"bayes,hivebench_agregation,hivebench_join,terasort"
