"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
22010,2696,"pagerank","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
22008,1253,"wordcount","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
22007,2723,"kmeans","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
22006,4289,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
22005,2712,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
22004,2700,"pagerank","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
22002,1257,"wordcount","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
22001,2654,"kmeans","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
22000,4192,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21999,2877,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21998,2660,"pagerank","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21996,1281,"wordcount","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21995,2797,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21994,4705,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
21993,2892,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
21992,2653,"pagerank","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
21990,1334,"wordcount","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
21989,3018,"kmeans","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
21988,4514,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21987,3112,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21986,2696,"pagerank","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21984,1279,"wordcount","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21983,2782,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
21982,2718,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
21981,2804,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
21980,2889,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
21978,1399,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
21977,2593,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
21976,2602,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
