ID,Benchmark,Exe.Time,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,Cl.Name,Datanodes,Headnodes,VM.OS,VM.Cores,VM.RAM,Provider,VM.Size,Service.Type,Bench.Type
81197,prep_terasort,105.000,ETH,RR3,6,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81198,terasort,716.000,ETH,RR3,6,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81199,prep_terasort,102.000,ETH,RR3,12,15,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81200,terasort,522.000,ETH,RR3,12,15,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81201,prep_terasort,202.000,ETH,HD3,14,12,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81202,terasort,742.000,ETH,HD3,14,12,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81203,prep_terasort,643.000,ETH,RR3,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81204,terasort,2518.000,ETH,RR3,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81205,prep_terasort,105.000,ETH,RR3,8,15,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81206,terasort,557.000,ETH,RR3,8,15,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81207,prep_terasort,343.000,ETH,HDD,10,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81208,prep_terasort,105.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81209,terasort,571.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81210,prep_terasort,105.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81211,terasort,630.000,ETH,RR3,5,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81212,prep_terasort,209.000,ETH,HD3,14,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81213,terasort,759.000,ETH,HD3,14,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81214,prep_terasort,102.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81215,terasort,560.000,ETH,RR3,6,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81216,prep_terasort,409.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81217,terasort,2057.000,ETH,HDD,2,10,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81218,prep_terasort,206.000,ETH,HD3,16,13,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81219,prep_terasort,105.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81220,terasort,472.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81221,prep_terasort,348.000,ETH,HDD,6,12,2,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81222,prep_terasort,105.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81223,terasort,439.000,ETH,RR3,7,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81224,prep_terasort,101.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81225,terasort,433.000,ETH,RR3,8,10,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81226,prep_terasort,603.000,ETH,HDD,13,22,3,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81227,terasort,1568.000,ETH,HDD,13,22,3,65536,0,64,21,minerva100-10-18-21,8,1,linux,12,64.000,minerva100,minerva-100,On-Premise,HiBench
81228,prep_terasort,617.000,ETH,RL3,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81229,terasort,2250.000,ETH,RL3,2,13,2,65536,0,64,28,al-28,8,1,linux,2,3.500,azure,A2,IaaS,HiBench
81230,prep_terasort,102.000,ETH,RR3,6,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81231,terasort,448.000,ETH,RR3,6,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81232,prep_terasort,102.000,ETH,RR3,6,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81233,terasort,463.000,ETH,RR3,6,12,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81234,prep_terasort,102.000,ETH,RR3,15,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
81235,terasort,473.000,ETH,RR3,15,13,2,65536,0,64,33,rl-33,8,1,linux,8,30.000,rackspace,performance2-30,IaaS,HiBench
