ID,Benchmark,Exe.Time,Running.Cost,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,End.time
4575,pagerank,1879,1.39,ETH,RL2,10,10,1,65536,Snappy,256,al-14,20141224225654
4573,dfsioe_read,4462,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224214245
4572,dfsioe_read,3836,2.84,ETH,RL2,10,10,1,65536,Snappy,128,al-14,20141224204058
4571,pagerank,2389,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224200645
4566,kmeans,2246,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224170243
4560,pagerank,3054,0,ETH,HDD,6,10,1,65536,Snappy,32,al-15,20141224152224
4561,kmeans,1459,1.08,ETH,RL2,10,10,1,65536,Snappy,64,al-14,20141224152221
4559,pagerank,1924,1.42,ETH,RL2,10,10,1,65536,Snappy,32,al-14,20141224141726
4554,dfsioe_read,5668,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224125133
4553,pagerank,2400,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224105551
4550,dfsioe_read,3684,2.73,ETH,RL2,10,10,1,65536,BZIP2,256,al-14,20141224092252
4548,kmeans,2246,0,ETH,HDD,6,10,1,65536,Snappy,64,al-15,20141224075224
4547,kmeans,1375,1.02,ETH,RL2,10,10,1,65536,BZIP2,256,al-14,20141224072406
4543,dfsioe_read,4695,0,ETH,HDD,6,10,1,65536,BZIP2,256,al-15,20141224061216
4544,dfsioe_read,3503,2.59,ETH,RL2,10,10,1,65536,BZIP2,128,al-14,20141224055601
4542,pagerank,1940,1.44,ETH,RL2,10,10,1,65536,BZIP2,128,al-14,20141224043417
4541,pagerank,2263,0,ETH,HDD,6,10,1,65536,BZIP2,256,al-15,20141224043138
4540,kmeans,1282,0.95,ETH,RL2,10,10,1,65536,BZIP2,128,al-14,20141224032009
4535,dfsioe_read,4083,3.02,ETH,RL2,10,10,1,65536,BZIP2,64,al-14,20141224015620
4536,kmeans,2463,0,ETH,HDD,6,10,1,65536,BZIP2,256,al-15,20141224012413
4528,dfsioe_read,5507,0,ETH,HDD,6,10,1,65536,BZIP2,128,al-15,20141223234248
4530,kmeans,1300,0.96,ETH,RL2,10,10,1,65536,BZIP2,64,al-14,20141223231119
4527,pagerank,2412,0,ETH,HDD,6,10,1,65536,BZIP2,128,al-15,20141223214948
4526,dfsioe_read,4262,3.15,ETH,RL2,10,10,1,65536,BZIP2,32,al-14,20141223214744
4524,kmeans,1332,0.99,ETH,RL2,10,10,1,65536,BZIP2,32,al-14,20141223193628
4517,dfsioe_read,5074,0,ETH,HDD,6,10,1,65536,BZIP2,64,al-15,20141223174622
4519,kmeans,1287,0.95,ETH,RL2,10,10,1,65536,BZIP2,64,al-14,20141223174155
4514,dfsioe_read,4420,3.27,ETH,RL2,10,10,1,65536,ZLIB,128,al-14,20141223145947
4515,kmeans,2262,0,ETH,HDD,6,10,1,65536,BZIP2,64,al-15,20141223142841
4510,dfsioe_read,4472,0,ETH,HDD,6,10,1,65536,BZIP2,32,al-15,20141223123622
4508,kmeans,1313,0.97,ETH,RL2,10,10,1,65536,ZLIB,64,al-14,20141223112401
4505,kmeans,2264,0,ETH,HDD,6,10,1,65536,BZIP2,32,al-15,20141223101356
4504,pagerank,2090,1.55,ETH,RL2,10,10,1,65536,ZLIB,32,al-14,20141223100710
4497,dfsioe_read,5226,0,ETH,HDD,6,10,1,65536,ZLIB,256,al-15,20141223064051
4498,pagerank,1869,1.38,ETH,RL2,10,10,1,65536,None,256,al-14,20141223054415
4493,kmeans,1586,1.17,ETH,RL2,10,10,1,65536,None,256,al-14,20141223030627
4492,dfsioe_read,5073,0,ETH,HDD,6,10,1,65536,ZLIB,128,al-15,20141223024337
4489,pagerank,2209,0,ETH,HDD,6,10,1,65536,ZLIB,128,al-15,20141223005140
4484,kmeans,2229,0,ETH,HDD,6,10,1,65536,ZLIB,128,al-15,20141222214915
4482,dfsioe_read,4563,3.38,ETH,RL2,10,10,1,65536,None,32,al-14,20141222214531
4480,dfsioe_read,4658,0,ETH,HDD,6,10,1,65536,ZLIB,64,al-15,20141222201011
4478,kmeans,1335,0.99,ETH,RL2,10,10,1,65536,None,32,al-14,20141222190120
4474,dfsioe_read,3634,2.69,ETH,RL2,10,10,1,65536,None,64,al-14,20141222173613
4473,kmeans,2277,0,ETH,HDD,6,10,1,65536,ZLIB,64,al-15,20141222161529
4471,pagerank,7037,5.21,ETH,RL2,10,10,1,65536,None,64,al-14,20141222161222
4472,pagerank,2527,0,ETH,HDD,6,10,1,65536,ZLIB,32,al-15,20141222145902
4465,kmeans,2260,0,ETH,HDD,6,10,1,65536,ZLIB,32,al-15,20141222114651
4463,dfsioe_read,3745,2.77,ETH,RL2,6,10,1,65536,Snappy,256,al-14,20141222114151
4461,pagerank,2763,2.04,ETH,RL2,6,10,1,65536,Snappy,256,al-14,20141222101653
4460,dfsioe_read,4361,0,ETH,HDD,6,10,1,65536,ZLIB,64,al-15,20141222100442
4459,pagerank,2198,0,ETH,HDD,6,10,1,65536,ZLIB,64,al-15,20141222083042
4458,dfsioe_read,3138,2.32,ETH,RL2,6,10,1,65536,Snappy,128,al-14,20141222081111
4456,pagerank,1980,1.47,ETH,RL2,6,10,1,65536,Snappy,128,al-14,20141222065629
4448,kmeans,2492,0,ETH,HDD,6,10,1,65536,None,256,al-15,20141222022049
4446,dfsioe_read,3481,2.58,ETH,RL2,6,10,1,65536,Snappy,64,al-14,20141222020727
4445,pagerank,2177,0,ETH,HDD,6,10,1,65536,None,128,al-15,20141222003608
4444,kmeans,1704,1.26,ETH,RL2,6,10,1,65536,Snappy,64,al-14,20141222001454
4441,kmeans,2276,0,ETH,HDD,6,10,1,65536,None,128,al-15,20141221223427
4434,dfsioe_read,3482,2.58,ETH,RL2,6,10,1,65536,BZIP2,128,al-14,20141221194514
4435,kmeans,2245,0,ETH,HDD,6,10,1,65536,None,64,al-15,20141221194232
4432,pagerank,2239,0,ETH,HDD,6,10,1,65536,None,32,al-15,20141221182650
4431,pagerank,2791,2.07,ETH,RL2,6,10,1,65536,BZIP2,128,al-14,20141221182450
4427,dfsioe_read,4377,3.24,ETH,RL2,6,10,1,65536,BZIP2,64,al-14,20141221160834
4424,dfsioe_read,4941,0,ETH,HDD,6,10,1,65536,None,64,al-15,20141221144224
4425,kmeans,1694,1.25,ETH,RL2,6,10,1,65536,BZIP2,64,al-14,20141221135418
4422,pagerank,2207,0,ETH,HDD,6,10,1,65536,None,64,al-15,20141221125903
4417,kmeans,1845,1.37,ETH,RL2,6,10,1,65536,BZIP2,32,al-14,20141221104307
4415,kmeans,2234,0,ETH,HDD,6,10,1,65536,None,64,al-15,20141221095630
4413,dfsioe_read,4115,3.05,ETH,RL2,6,10,1,65536,BZIP2,64,al-14,20141221090855
4411,pagerank,2742,0,ETH,HDD,8,10,1,65536,Snappy,256,al-15,20141221082125
